RetailStore,CustomerID,TransactionID,Transaction Time,ProductID,Cost
1,1001,1ID10051,01-01-2019 09:18,4,144.75
2,1002,2ID10052,01-01-2019 11:56,8,97.25
2,1002,2ID10052,01-01-2019 11:56,2,47.25
2,1002,2ID10052,01-01-2019 11:56,9,197.25
3,1003,3ID10053,01-01-2019 12:38,2,216
3,1003,3ID10053,01-01-2019 12:38,18,137.25
1,1004,1ID10054,01-01-2019 11:54,13,253.25
2,1005,2ID10055,01-01-2019 14:30,14,147.25
3,1006,3ID10056,01-01-2019 13:43,1,192
3,1006,3ID10056,01-01-2019 13:43,11,101
3,1006,3ID10056,01-01-2019 13:43,11,101
3,1006,3ID10056,01-01-2019 13:43,8,202
3,1006,3ID10056,01-01-2019 13:43,13,101
3,1006,3ID10056,01-01-2019 13:43,5,242
2,1007,2ID10057,01-01-2019 16:42,2,216
2,1008,2ID10058,01-01-2019 17:13,19,197.25
2,1008,2ID10058,01-01-2019 17:13,3,147.25
2,1009,2ID10059,01-01-2019 17:17,2,197.25
2,1009,2ID10059,01-01-2019 17:17,8,197.25
2,1010,2ID10060,02-01-2019 12:59,5,210.75
2,1010,2ID10060,02-01-2019 12:59,2,197.25
2,1010,2ID10060,02-01-2019 12:59,6,106
3,1011,3ID10061,02-01-2019 12:14,17,252
1,1012,1ID10062,02-01-2019 11:48,17,199.75
1,1012,1ID10062,02-01-2019 11:48,17,199.75
1,1013,1ID10063,02-01-2019 11:51,3,142.25
2,1014,2ID10064,02-01-2019 13:53,5,204.5
2,1014,2ID10064,02-01-2019 13:53,5,217
2,1014,2ID10064,02-01-2019 13:53,20,27.25
2,1015,2ID10065,02-01-2019 14:19,17,260.75
2,1015,2ID10065,02-01-2019 14:19,9,260.75
2,1015,2ID10065,02-01-2019 14:19,8,97.25
1,1016,1ID10066,02-01-2019 12:43,10,152.25
1,1016,1ID10066,02-01-2019 12:43,3,139.75
1,1016,1ID10066,02-01-2019 12:43,3,139.75
1,1016,1ID10066,02-01-2019 12:43,19,139.75
1,1017,1ID10067,02-01-2019 13:42,9,189.75
1,1018,1ID10068,02-01-2019 13:42,12,253.25
1,1018,1ID10068,02-01-2019 13:42,7,258.25
1,1019,1ID10069,02-01-2019 17:19,4,144.75
1,1019,1ID10069,02-01-2019 17:19,12,189.75
1,1019,1ID10069,02-01-2019 17:19,12,189.75
2,1020,2ID10070,03-01-2019 11:07,12,254.5
2,1021,2ID10071,03-01-2019 11:08,12,254.5
2,1021,2ID10071,03-01-2019 11:08,1,204.5
2,1022,2ID10072,03-01-2019 11:11,12,260.75
3,1023,3ID10073,03-01-2019 10:33,1,192
3,1024,3ID10074,03-01-2019 10:46,4,197
3,1024,3ID10074,03-01-2019 10:46,4,197
3,1024,3ID10074,03-01-2019 10:46,4,197
3,1024,3ID10074,03-01-2019 10:46,4,197
3,1025,3ID10075,03-01-2019 10:49,5,197
3,1025,3ID10075,03-01-2019 10:49,5,197
3,1026,3ID10076,03-01-2019 10:50,3,142.25
2,1027,2ID10077,03-01-2019 12:15,3,147.25
3,1028,3ID10078,03-01-2019 11:22,3,197
3,1028,3ID10078,03-01-2019 11:22,1,137.25
3,1029,3ID10079,03-01-2019 11:34,22,208.25
1,1030,1ID10080,03-01-2019 11:21,11,189.75
1,1030,1ID10080,03-01-2019 11:21,2,199.75
2,1031,2ID10081,03-01-2019 13:23,17,18.75
2,1031,2ID10081,03-01-2019 13:23,18,204.5
1,1032,1ID10082,03-01-2019 11:32,4,144.75
1,1033,1ID10083,03-01-2019 12:02,15,197
2,1034,2ID10084,03-01-2019 14:20,20,999.75
2,1034,2ID10084,03-01-2019 14:20,20,999.75
1,1035,1ID10085,03-01-2019 13:42,4,144.75
1,1013,1ID10086,03-01-2019 14:06,3,142.25
1,1012,1ID10087,03-01-2019 16:14,12,189.75
1,1012,1ID10087,03-01-2019 16:14,17,199.75
2,1036,2ID10088,03-01-2019 19:25,4,31.25
2,1036,2ID10088,03-01-2019 19:25,3,147.25
2,1036,2ID10088,03-01-2019 19:25,7,197.25
2,1036,2ID10088,03-01-2019 19:25,7,197.25
2,1036,2ID10088,03-01-2019 19:25,5,216
2,1037,2ID10089,03-01-2019 20:17,15,197.25
2,1038,2ID10090,04-01-2019 11:01,2,266
2,1038,2ID10090,04-01-2019 11:01,9,197.25
2,1038,2ID10090,04-01-2019 11:01,22,147.25
2,1038,2ID10090,04-01-2019 11:01,3,159.75
2,1038,2ID10090,04-01-2019 11:01,19,159.75
2,1039,2ID10091,04-01-2019 11:27,21,223.25
3,1040,3ID10092,04-01-2019 12:02,4,142.25
3,1040,3ID10092,04-01-2019 12:02,19,192.25
3,1040,3ID10092,04-01-2019 12:02,5,142.25
3,1040,3ID10092,04-01-2019 12:02,8,147.25
1,1041,1ID10093,04-01-2019 11:15,3,197
1,1042,1ID10094,04-01-2019 11:29,3,197
1,1042,1ID10094,04-01-2019 11:29,4,202
1,1043,1ID10095,04-01-2019 11:30,1,197
1,1043,1ID10095,04-01-2019 11:30,12,247
3,1044,3ID10096,04-01-2019 12:56,1,206
1,1012,1ID10097,04-01-2019 13:17,7,194.75
1,1012,1ID10097,04-01-2019 13:17,12,189.75
1,1045,1ID10098,04-01-2019 15:09,12,97.25
1,1045,1ID10098,04-01-2019 15:09,18,139.75
1,1045,1ID10098,04-01-2019 15:09,6,97.25
1,1045,1ID10098,04-01-2019 15:09,6,144.75
2,1046,2ID10099,04-01-2019 19:35,8,109.75
2,1046,2ID10099,04-01-2019 19:35,7,216
2,1046,2ID10099,04-01-2019 19:35,7,216
2,1007,2ID10100,04-01-2019 20:26,2,216
1,1047,1ID10101,04-01-2019 18:40,13,189.75
1,1047,1ID10101,04-01-2019 18:40,11,189.75
1,1047,1ID10101,04-01-2019 18:40,11,189.75
2,1048,2ID10102,05-01-2019 10:40,12,197.25
2,1048,2ID10102,05-01-2019 10:40,2,47.25
3,1049,3ID10103,05-01-2019 10:04,18,192
3,1049,3ID10103,05-01-2019 10:04,18,192
2,1050,2ID10104,05-01-2019 11:19,13,197.25
1,1051,1ID10105,05-01-2019 09:49,4,208.25
1,1051,1ID10105,05-01-2019 09:49,4,202
1,1052,1ID10106,05-01-2019 10:01,1,197
1,1052,1ID10106,05-01-2019 10:01,1,139.75
3,1053,3ID10107,05-01-2019 11:37,3,192
3,1053,3ID10107,05-01-2019 11:37,2,44.75
